序号,动画,看完时间,第二次看完,状态,状态
475,小森同学拒绝不了！,2023,,2,
476,学园孤岛,2022,,2,
477,邻座的怪同学,2022,,2,
478,魁拔妖侠传,2018,,2,
479,邻座的怪同学 OAD,2022,,2,
480,君吻Pure Rouge,2022,,2,
481,小魔女学园 TV版,2022,,2,
482,式守同学不只可爱而已,2022,,2,
483,强风吹拂,2023,,2,
484,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,,,2,
485,小魔女学园,2022,,2,
486,蔚蓝反射 澪,2023,,2,
487,白沙的水族馆,2022,,2,
488,魔法使黎明期,,,2,
489,我们无法一起学习,2022,,2,
490,公主连结 与你重逢 第二季,,,2,
491,魔法纪录 魔法少女小圆外传 第二季,,,2,
492,魔法纪录 魔法少女小圆外传,,,2,
493,白色相簿 下半篇章,2022,,2,
494,白色相簿 上半篇章,2022,,2,
495,少女☆歌剧 Revue Starlight,,,2,
496,LOST SONG 失落的歌谣,,,2,
497,暂停！让我查攻略,2022,,2,
498,Love Live！虹咲学园学园偶像同好会,,,2,
499,生日乐园,,,2,
500,开挂药师的奇幻世界悠闲生活,,,2,
501,宿命回响：命运节拍,2022,,2,
502,转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,,,2,
503,来自深渊 深沉灵魂的黎明,2022,,2,
504,来自深渊 剧场版总集篇,2022,,2,
505,盾之勇者成名录 第二季,2023,,2,
506,盾之勇者成名录,2023,,2,
507,请问您今天要来点兔子吗？,,,2,
508,无能力者娜娜,,,2,
509,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,2019,,2,
510,失忆症 SP,,,2,
511,失忆症,,,2,
512,碧蓝航线,,,2,
513,工作细胞BLACK,,,2,
514,碧蓝航线：微速前行！,,,2,
515,JOJO的奇妙冒险,,,2,
516,秘密内幕 女警的反击,,,2,
517,一个人的〇〇小日子,,,2,
518,OVERLORD Ⅱ,,,2,
519,吹响吧！上低音号～誓言的终章～,,,2,
520,旅街LateShow,,,2,
521,此花亭奇谭（中配）,,,2,
522,剧场版总集篇 OVERLORD 不死者之王,,,2,
523,剧场版总集篇 OVERLORD 漆黑的英雄,,,2,
524,OVERLORD SP,,,2,
525,辉夜大小姐想让我告白 -究极浪漫-,,,2,
526,你是彼方,,,2,
527,理科生坠入情网，故尝试证明。 中配版,,,2,
528,少女编号,,,2,
529,齐木楠雄的灾难 完结篇,,,2,
530,齐木楠雄的灾难 始动篇,,,2,
531,齐木楠雄的灾难 第二季,,,2,
532,奇诺之旅 疾病之国 -For You-,2022,,2,
533,奇诺之旅 塔之国 -Free Lance-,2022,,2,
534,奇诺之旅 活着的目标 -life goes on.-,2022,,2,
535,奇诺之旅（2017）,2022,,2,
536,约会大作战 第四季,,,2,
537,玉子爱情故事,,,2,
538,SOLA,,,2,
539,时空之隙,2023,,2,
540,围棋少年,2021,,2,
541,颠倒的帕特玛,,,2,
542,少年歌行 风花雪月篇,,,2,
543,学园偶像?阳光!! 第二季,,,2,
544,夏日幻魂,,,2,
545,鬼灭之刃 游郭篇,,,2,
546,龙蛇演义,,,2,
547,学园偶像?阳光!!,,,2,
548,虹猫蓝兔勇者归来,,,2,
549,Anne Happy,,,2,
550,死灵编码,,,2,
551,千从狩,2022,,2,
552,URARA迷路帖,,,2,
553,纯情房东俏房客 Again,,,2,
554,虹猫蓝兔光明剑,,,2,
555,Love Live! School Idol Project（第二季）,,,2,
556,望古神话之天选者,,,2,
557,记忆沉睡的孩子 奔向天空的摇篮,,,2,
558,国王排名,2022,,2,
559,Love Live! School Idol Project,,,2,
560,校园理想乡 学美向前冲！,2022,,2,
561,小林家的龙女仆 第二季,,,2,
562,电波女与青春男,,,2,
563,一起一起这里那里,,,2,
564,阳光中的青时雨,,,2,
565,来自风平浪静的明天,,,2,
566,恋爱小行星,,,3,
567,一周的朋友。,,,2,
568,宝石之国,2022,,2,
569,樱花任务,2023,,2,
570,SSSS.电光机王,2023,,2,
571,重启咲良田,2022,,2,
572,天使降临到我身边,,,2,
573,吹响吧！上低音号 第二季,,,2,
574,我女友与青梅竹马的惨烈修罗场,2022,,2,
575,吹响吧！上低音号,,,2,
576,奇蛋物语 / WONDER EGG PRIORITY,,,2,
577,女高中生的虚度日常,,,2,
578,神之塔,,,2,
579,比宇宙更远的地方,,,2,
580,男子高中生的日常,,,2,
581,路人超能100 REIGEN～不为人知的奇迹灵能者～（OVA）,,,2,
582,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,,,2,
583,飞翔的魔女 小剧场,,,2,
584,飞翔的魔女,,,2,
585,路人超能100 II(灵能百分百 第二季),,,2,
586,秋之回忆5 中断的胶片,,,2,
587,秋之回忆 OVA,,,2,
588,邻家索菲,,,2,
589,幻想嘉年华 Special Season,,,2,
590,幻想嘉年华 EX Season,,,2,
591,幻想嘉年华,,,2,
592,约定的梦幻岛 第二季,,,2,
593,约定的梦幻岛,,,2,
594,逆光之颤,,,2,
595,我们仍未知道那天所看见的花的名字。,,,2,
596,Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,2019,,2,
597,Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,2019,,2,
598,平家物语,,,2,
599,秒速五厘米,2022,,2,
600,玻璃之花与崩坏的世界,,,2,
601,命运-冠位指定 -月光／失落之室-,2019,,2,
602,天降之物Final 我永远的鸟笼,,,2,
603,萤火之森,,,2,
604,川柳少女,,,2,
605,碧蓝之海,,,2,
606,镜花缘,,,2,
607,有顶天家族,2022,,2,
608,历物语,,,2,
609,终物语 下,,,2,
610,来自新世界,2022,,2,
611,终物语,,,2,
612,关于前辈很烦人的事,,,2,
613,大话之少年游,,,2,
614,工作细胞 第二季,,,2,
615,珈百璃的堕落,,,2,
616,Hand Shakers,,,2,
617,未确认进行式 OVA,,,2,
618,未确认进行式 OAD,,,2,
619,未确认进行式,,,2,
620,无论何时我们的恋情都是10厘米。～告白实行委员会～,,,2,
621,真实之泪,2021,,2,
622,键等学园/键等,2021,,2,
623,玉子市场,,,2,
624,一杆青空,,,2,
625,鬼灭之刃 无限列车篇,,,2,
626,我，不是说了能力要平均值么！,,,2,
627,圣女魔力无所不能,,,2,
628,阿茹茉妮,,,2,
629,Fate/Grand Order ‐First Order‐,2019,,2,
630,命运-冠位嘉年华,2019,,2,
631,人类衰退之后,,,2,
632,牵牛花与加濑同学。,,,2,
633,告白实行委员会 我于此刻恋上你,,,2,
634,侦探已死,,,2,
635,告白实行委员会 嫉忌的答复,,,2,
636,这个勇者明明超强却过分慎重,,,2,
637,云之彼端，约定的地方,,,2,
638,珈百璃的堕落 SP,,,2,
639,热诚传说 第二季,2017,,2,
640,告白实行委员会 告白预演,,,2,
641,东之伊甸II -Paradise Lost,,,2,
642,东之伊甸I -The King of Eden,,,2,
643,冬季花园,,,2,
644,隐瞒之事 电影剪辑版,,,2,
645,剑网3·侠肝义胆沈剑心 第二季,2022,,2,
646,少年锦衣卫,2017,,2,
647,喜欢上你的那个瞬间。～告白实行委员会～,,,2,
648,电影版 境界的彼方未来篇,,,2,
649,电影版 境界的彼方过去篇,,,2,
650,超能力女儿,,,2,
651,从很久以前就喜欢你了。～告白实行委员会～,,,2,
652,男孩遇见女孩,,,2,
653,东之伊甸,,,2,
654,路人超能100(灵能百分百),,,2,
655,浪客剑心 新京都篇,,,2,
656,浪客剑心 星霜篇,,,2,
657,浪客剑心 追忆篇,,,2,
658,拾忆长安·明月几时有 第二季,,,2,
659,仙王的日常生活 第二季,,,2,
660,浪客剑心 （中配）,,,2,
661,轻音少女 剧场版,,,2,
662,拾忆长安·明月几时有,,,2,
663,她和她的猫,,,2,
664,我被逐出队伍后过上慢生活,,,2,
665,天宝伏妖录 第二季,,,2,
666,定海浮生录,,,2,
667,烈火浇愁,2022,,2,
668,境界的彼方,,,2,
669,追梦者,,,2,
670,One Room 第二季,,,2,
671,One Room 第三季,,,2,
672,One Room,,,2,
673,轻音少女 第二季,2021,,2,
674,LoveLive 爱与演唱会!超级明星!!,,,2,
675,Just Because!,2019,,2,
676,打了300年的史莱姆，不知不觉就练到了满级,,,2,
677,极主夫道,2021,,2,
678,致不灭的你,,,2,
679,公主连结Re:Dive,,,2,
680,魔女之旅,,,2,
681,少女终末旅行,,,2,
682,约会大作战,,,2,
683,约会大作战 第三季,,,2,
684,约战狂三外传,,,2,
685,约会大作战 万由里裁决,,,2,
686,九色鹿,,,2,
687,残次品·放逐星空,,,2,
688,知晓天空之蓝的人啊,,,2,
689,两不疑,,,2,
690,紫罗兰永恒花园,,,2,
691,剧场版 中二病也要谈恋爱！ -Take On Me-,,,2,
692,中二病也要谈恋爱！Lite,,,2,
693,中二病也要谈恋爱！恋,,,2,
694,中二病也要谈恋爱！,,Jun-25,2,
695,中二病也要谈恋爱！恋 SP,,,2,
696,DEPTH OF FIELD ～ 爱与憎恨的剧场,,,2,
697,中二病也要谈恋爱！恋 Lite,,,2,
698,赛马娘 第二季,,,2,
699,Love Live! 学园偶像 电影,,,2,
700,赛马娘,,,2,
701,伍六七,2018,,2,
702,心灵想要大声呼喊,,,2,
703,人类衰退之后 SP,,,2,
704,百妖谱 第二季,,,2,
705,元龙 第二季,,,2,
706,漂流少年,2021,,2,
707,我们的重制人生,2021,,2,
708,关于我转生变成史莱姆这档事 第二季,,,2,
709,TARI TARI,2021,,2,
710,TARI TARI OVA,2021,,2,
711,花开伊吕波 Home Sweet Home,2021,,2,
712,花开伊吕波,2021,,2,
713,喜欢本大爷的竟然就你一个？,,,2,
714,不正经的魔术讲师与禁忌教典,,,2,
715,只有我不存在的城市,,,2,
716,月色真美,2019,,2,
717,月色真美 SP,2019,,2,
718,星之梦～雪圈球～,,,2,
719,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,,,2,
720,魔法少女小圆 剧场版 [新篇] 叛逆的物语,,,2,
721,辉夜大小姐想让我告白～天才们的恋爱头脑战～,,,2,
722,龙与虎,,,2,
723,总之就是非常可爱,,,2,
724,四月是你的谎言,,,2,
725,四月是你的谎言 OAD,,,2,
726,Stories?of?Last?Letter,,,2,
727,转生成蜘蛛又怎样！,,,2,
728,Angel Beats!,,,2,
729,星之梦～星之人～,,,2,
730,星之梦,,,2,
731,薇薇 -萤石眼之歌-,,,2,
732,刀剑神域 Extra Edition,2023,Jun-25,2,
733,刀剑神域 爱丽丝篇 异界战争 -终章-,2023,Jun-25,2,
734,刀剑神域 爱丽丝篇 异界战争,2023,Jun-25,2,
735,刀剑神域 Alicization,2023,Jun-25,2,
736,刀剑神域,2023,Jun-25,2,
737,卫宫家今天的饭,,,2,
738,Little Busters! EX,,,2,
739,Little Busters!,,,2,
740,虹猫仗剑走天涯,,,2,
741,魔法少女☆伊莉雅 2WEI!,2019,,2,
742,魔法少女☆伊莉雅 2wei Herz! SP,2019,,2,
743,魔法少女☆伊莉雅 OVA,2019,,2,
744,魔法少女☆伊莉雅 3REI!!,2019,,2,
745,言叶之庭,,,2,
746,命运石之门 聪明睿智的认知计算,2021,,2,
747,命运石之门 境界面上的迷失之链,2021,,2,
748,命运石之门 负荷领域的既视感,2021,,2,
749,关于我转生变成史莱姆这档事 转生史莱姆日记,,,2,
750,虹猫蓝兔七侠传,,,2,
751,虹猫蓝兔阿木星,,,2,
752,镇魂街 第二季,,,2,
753,万国志,,,2,
754,弱势角色友崎君,,,2,
755,齐木楠雄的灾难,,,2,
756,齐木楠雄的灾难（日播&精选版）,,,2,
757,夏目友人帐 唤石者与怪异的访客,,,2,
758,秘宝之国,,,2,
759,龙骑侍 普通话版,,,2,
760,好比是最终迷宫前的少年到新手村生活一般的故事,,,2,
761,罪恶王冠 失落的圣诞节 an episode of port town,2019,,2,
762,罪恶王冠,2019,,2,
763,罪恶王冠 SP,2019,,2,
764,咒术回战,,,2,
765,怪物事变,,,2,
766,鬼灭之刃,,,2,
767,天宝伏妖录,2020,,2,
768,鬼灭之刃 中配版,,,2,
769,Rewrite 2nd Season,2021,,2,
770,KANON / 雪之少女（京都版）,2021,,2,
771,Rewrite,2021,,2,
772,我的三体之章北海传,,,2,
773,我的三体之罗辑传,,,2,
774,我的三体,,,2,
775,AIR,2021,,2,
776,CLANNAD 另一个世界 智代篇,2021,,2,
777,CLANNAD ～AFTER STORY～另一个世界 杏篇,2021,,2,
778,伍六七之玄武国篇,2021,,2,
779,花果山传,,,2,
780,某科学的超电磁炮S,2021,Jun-25,2,
781,魔法禁书目录 第三季,2021,,2,
782,魔法禁书目录 剧场版,2021,,2,
783,魔法禁书目录 炭,2021,,2,
784,剧场版 魔法禁书目录炭 SP,2021,,2,
785,魔法禁书目录 第二季,,,2,
786,某科学的超电磁炮,2021,Jun-25,2,
787,某科学的一方通行,2021,,2,
788,Ｄｒ．ＳＴＯＮＥ 石纪元 (第二季),2022,,2,
789,剑网3·侠肝义胆沈剑心之长漂,,,2,
790,魔法禁书目录 第一季,2021,,2,
791,Re：从零开始的异世界生活 第二季 后半,,,2,
792,昨日之歌,,,2,
793,青春之旅 OAD,,,2,
794,青春之旅,,,2,
795,月刊少女野崎君,,,2,
796,路人女主的养成方法 Fine,,,2,
797,路人女主的养成方法 ?,,,2,
798,路人女主的养成方法,,,2,
799,秦侠,,,2,
800,我的青春恋爱物语果然有问题。完,2019,,2,
801,我的青春恋爱物语果然有问题 续 OVA,2019,,2,
802,我的青春恋爱物语果然有问题。 第一季 OVA,2019,,2,
803,我的青春恋爱物语果然有问题。续,2019,,2,
804,我的青春恋爱物语果然有问题。,2019,,2,
805,天官赐福,,,2,
806,五等分的新娘,,,2,
807,青春猪头少年不会梦到怀梦美少女,,,2,
808,Ｄｒ．ＳＴＯＮＥ 石纪元,,,2,
809,夏目友人帐 第三季,,,2,
810,夏目友人帐 第六季,,,2,
811,夏目友人帐 OVA,,,2,
812,夏目友人帐 第五季,,,2,
813,夏目友人帐 第五季 特别篇,,,2,
814,夏目友人帐 第四季,,,2,
815,房东青春期！,,,2,
816,夏目友人帐 第二季,,,2,
817,夏目友人帐,,,2,
818,异度侵入 ID:INVADED,,,2,
819,因为太怕痛就全点防御力了,,,2,
820,芯觉,,,2,
821,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,,,2,
822,元龙,,,2,
823,Comic Girls,,,2,
824,我的妹妹不可能那么可爱 第二季,2019,,2,
825,我的妹妹不可能那么可爱 第一季,2019,,2,
826,冰菓,2019,Jun-25,2,
827,青春猪头少年不会梦到兔女郎学姐,2019,,2,
828,虚构推理,,Jun-25,2,
829,Re：从零开始的异世界生活 第二季 前半,,,2,
830,Re：从零开始休息时间,,,2,
831,Re：从零开始的异世界生活 冰结之绊,,,2,
832,Re：从零开始的异世界生活 Memory Snow(雪之回忆),,,2,
833,Re：从零开始的异世界生活 新编集版,,,2,
834,贤者之孙,,,2,
835,被神捡到的男人,,,2,
836,Charlotte SP,,,2,
837,笨女孩,,,2,
838,关于我转生变成史莱姆这档事,,,2,
839,Charlotte,,,2,
840,十万个冷笑话 第二季,2018,,2,
841,一人之下 第二季,,,2,
842,凹凸世界 第二季,,,2,
843,Fate/Apocrypha,2019,,2,
844,妖神记,,,2,
845,Re：创造主,2019,,2,
846,从前有座灵剑山 第二季,2019,,2,
847,银之守墓人,2017,,2,
848,阿拉德：宿命之门,2017,,2,
849,黑白来看守所 第二季,2017,,2,
850,小林家的龙女仆,,,2,
851,ReLIFE,2017,,2,
852,堀桑与宫村君,,,2,
853,镇魂街 第一季,,,2,
854,怪医黑杰克剧场版之超人类,,,2,
855,大理寺日志,,,2,
856,Fate/stay night UNLIMITED BLADE WORKS,2018,,2,
857,NARUTO to BORUTO THE LIVE 2019,,,2,
858,妖神记之黑狱篇,,,2,
859,伍六七之最强发型师,,,2,
860,汉化日记,,,2,
861,仙王的日常生活,,,2,
862,百妖谱,,,2,
863,领风者,,,2,
864,多罗罗,,,2,
865,命运之夜??06版,,,2,
866,我家大师兄脑子有坑 特别篇,2019,,2,
867,工作细胞,,,2,
868,ISLAND,,,2,
869,ReLIFE 完结篇,,,2,
870,万界仙踪,,,2,
871,NO GAME NO LIFE 游戏人生,,,2,
872,青之驱魔师,2014,,2,
873,Fate/Zero 第二季,2019,,2,
874,十万个冷笑话 第一季,,,2,
875,血色苍穹（下篇）,,,2,
876,少年锦衣卫 第二季,,,2,
877,干物妹！小埋R,2017,,2,
878,食神魂 第二季,,,2,
879,黑白无双 第二季,,,2,
880,拳皇命运,2017,,2,
881,欢迎来到实力至上主义的教室,,,2,
882,我家业主会作妖,2017,,2,
883,寻师伏魔录 第二季,,,2,
884,食神魂,,,2,
885,国民老公带回家 第二季,2017,,2,
886,青之驱魔师 OAD,,,2,
887,开封奇谈-这个包公不太行,,,2,
888,快把我哥带走,,,2,
889,埃罗芒阿老师,2017,,2,
890,寻师伏魔录,,,2,
891,天下第几,2017,,2,
892,斗破苍穹 Q版小剧场,,,2,
893,全职法师Q版小剧场,,,2,
894,国民老公带回家,2015,,2,
895,妖怪名单 第二季,2017,,2,
896,择天记 第二季,2017,,2,
897,血色苍穹（上篇）,,,2,
898,时空使徒 中文版,2016,,2,
899,一课一练 中文版,,,2,
900,黑白来看守所,2016,,2,
901,超神学院之黑甲,,,2,
902,一人之下,,,2,
903,怪医黑杰克21,2014,2025/7/11,2,
904,勇者大冒险 番外篇,2017,,2,
905,农业娘,,,2,
906,拜托了 爱因兹贝伦咨询室,,,2,
907,史上最强弟子兼一 OVA,2014,,2,
908,双月之城,,,2,
909,青之驱魔师 剧场版,2014,,2,
910,勇者大冒险 第二季,2017,,2,
911,在下坂本，有何贵干？,,,2,
912,干物妹！小埋 OVA,2017,,2,
913,黑白无双,,,2,
914,凹凸世界 第一季,,,2,
915,从前有座灵剑山,2017,,2,
916,Fate/stay night [Unlimited Blade Works] 特典,2019,,2,
917,怪医黑杰克 OVA（1993）,2014,,2,
918,青年黑杰克,2014,,2,
919,干物妹！小埋,2017,,2,
920,勇者大冒险 第一季,2018,,2,
921,Angels of Death,,,2,
922,天才玩偶,,,2,
923,小绿和小蓝,2019,,2,
924,剑网3·侠肝义胆沈剑心,,,2,
925,我的逆天神器,2015,,2,
926,重神机潘多拉,2017,,2,
927,我家大师兄脑子有坑,2018,,2,
928,Fate/EXTRA Last Encore,2019,,2,
929,怪医黑杰克,2014,Jun-25,2,
930,王牌御史,2015,,2,
931,Fate/Zero 第一季,2017,,2,
932,Fate/stay night [Unlimited Blade Works] 第二季,2017,,2,
933,Fate/stay night [Unlimited Blade Works] 第一季,2017,,2,
934,怪医美女RAY,2015,,2,
935,幻界王,2015,,2,
936,徒然喜欢你,,,2,
937,我是江小白,,,2,
938,墓王之王 麒麟决,,,2,
939,我是江小白 第二季,,,2,
940,无聊诗社 第二季,,,2,
941,伪恋,,,2,
942,我家大师兄是个反派,2021,,2,
943,稻荷恋之歌,,,2,
944,请吃红小豆吧！,,,2,
945,少年歌行,,,2,
946,只有神知道的世界,,2025/8/13,,
